# 微軟倉頡聯想詞詞表（多字詞），自官方 ChtChangjie.lex 解出
# columns: text <TAB> weight
# 44572 phrases
下旬	10686320
下棋	9897412
下榻	10165687
下樓	10467118
下次	10667636
下毒	10301177
下水	10492959
下注	10453772
下流	9476541
下海	10397249
下游	10739152
下滑	10628449
下獄	9991010
下班	10658074
下田	10046247
下筆	8984154
下策	10426168
下級	10143605
下網	9961385
下肢	8809478
下落	10607864
下蛋	9744817
下課	10440127
下跌	10763939
下跪	10334918
下身	10207579
下車	10713311
下述	10227488
下達	10529770
下鄉	10553126
下鍋	10019256
下降	10755789
下限	10411880
下陷	10638486
下雨	10564476
下雪	9323946
下面	10480176
下頭	9540515
下風	9651218
下馬	8142414
下體	10366883
不一	10119791
不下	9802081
不久	10594430
不予	10294468
不但	10689496
不佳	10505956
不便	10529312
不僅	10671637
不免	9762894
不再	10643822
不准	10277363
不出	10327297
不利	10456362
不到	10634260
不及	10373434
不只	9095830
不可	10653236
不同	10723714
不堪	10259762
不如	10481664
不妨	10388066
不安	9838892
不宜	10493932
不容	10183764
不實	9995442
不少	10740125
不已	10429958
不平	9676005
不幸	10551802
不得	10662506
不必	10624544
不惜	10163180
不慎	10311104
不成	10222952
不敷	9206534
不料	10540661
不斷	10680632
不明	10343069
不易	10614671
不是	10756104
不時	9906426
不會	10731974
不服	9452727
不治	10241636
不法	10402354
不滿	10698233
不無	9574572
不甘	9516700
不用	10073061
不當	10517746
不禁	9937571
不符	10358442
不等	10203674
不管	10416312
不肖	10048274
不肯	10141873
不能	10748167
不致	10443303
不良	10584050
不要	10715338
不解	10022433
不詳	10096876
不論	10573490
不諱	8960340
不變	9300132
不足	10706846
不過	10763939
不錯	10562743
不需	9627404
不顧	9873598
丑角	10763939
且慢	10096876
且看	10517746
且說	10763939
丕變	10763939
世上	10680632
世事	10416312
世交	9802081
世人	10748167
世代	10662506
世俗	10493932
世務	9206534
世宗	10540661
世家	10698233
世尊	10096876
世局	10443303
世居	10469145
世故	10259762
世界	10643822
世盟	10358442
世系	10048274
世紀	10763939
世襲	9627404
世說	8960340
世運	10141873
世間	10584050
世面	9873598
丘壑	10096876
丘陵	10517746
丙烷	10763939
丙等	10343069
丟下	10559638
丟人	10249470
丟失	9582406
丟掉	10670341
丟棄	10763939
丟臉	10424148
丟開	10003277
並不	10464914
並且	10729233
並出	10190474
並列	10653236
並存	10271552
並排	9986172
並未	10763939
並用	10692423
並立	10096876
並聯	9008941
並肩	10566347
並蒂	9429812
並行	10407042
並進	10343069
並重	10611344
丫環	10343069
丫頭	10763939
中區	10482464
中午	10702138
中古	9235225
中和	10582698
中國	10754066
中型	9439527
中壢	10680056
中外	10106590
中央	10744030
中學	10512829
中將	10323159
中小	10236270
中山	10691198
中年	9713966
中廣	8678864
中心	10763939
中文	10527461
中斷	10362346
中旬	10633326
中期	10381030
中東	10723445
中止	9766799
中毒	10416758
中油	10712885
中獎	10076966
中盤	9978286
中秋	9815400
中立	9941476
中等	9520605
中級	9592122
中縣	10645350
中美	10668706
中興	10657140
中華	10733824
中視	10621060
中途	10302574
中選	10212456
中部	10608540
中醫	9656096
中鋒	10012992
中鋼	10555708
中間	10497836
中隊	10134837
中風	8257994
丰采	10763939
串供	10559638
串成	9582406
串演	10003277
串聯	10763939
串通	10670341
串門	10249470
丹心	10249470
丹桂	10424148
丹楓	10003277
丹青	10559638
丹鳳	10763939
丹麥	9582406
主事	10032902
主人	10559638
主任	10755202
主使	9828600
主修	9867787
主力	10728212
主動	10690250
主和	9640278
主唱	10249470
主因	10617508
主委	10718942
主婦	10468060
主客	9026046
主宰	10185497
主審	9939304
主將	10424148
